DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm_Cd1,Crm_Cd2,Crm_Cd3,Crm_Cd4,LOCATION,Cross Street,LAT,LON
191900971,8/17/2019 0:00,8/17/2019 0:00,320,19,Mission,1958,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1402 0450,18,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,753,998,,,FILMORE,CANTERBURY,34.2522,-118.4484
191914600,8/8/2019 0:00,8/8/2019 0:00,310,19,Mission,1962,2,888,TRESPASSING,1402 0907,33,M,B,402,MARKET,,,IC,Invest Cont,888,998,,,9500    SEPULVEDA                    BL,,34.2428,-118.4675
190719213,11/8/2019 0:00,10/26/2019 0:00,1,7,Wilshire,732,1,310,BURGLARY,344,40,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,600 S  CRESCENT HEIGHTS             BL,,34.0653,-118.365
190412133,7/13/2019 0:00,7/13/2019 0:00,1500,4,Hollenbeck,497,1,440,THEFT PLAIN - PETTY ($950 & UNDER),325,0,M,X,408,AUTO SUPPLY STORE*,,,IC,Invest Cont,440,,,,2800 E  OLYMPIC                      BL,,34.0234,-118.2177
190123199,9/16/2019 0:00,9/16/2019 0:00,2034,1,Central,112,2,624,BATTERY - SIMPLE ASSAULT,0416 0417 2004 0910,20,F,H,801,MTA BUS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,SPRING,TEMPLE,34.0549,-118.2426
190520031,12/30/2019 0:00,12/30/2019 0:00,1738,5,Harbor,585,2,237,CHILD NEGLECT (SEE 300 W.I.C.),0552 0907 0913 1251 1258,9,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,237,,,,800 W  24TH                         ST,,33.7225,-118.2946
191811453,5/4/2019 0:00,5/4/2019 0:00,340,18,Southeast,1829,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 1407 0450,33,F,B,108,PARKING LOT,106,UNKNOWN FIREARM,IC,Invest Cont,230,998,,,2000 E  101ST                        ST,,33.9449,-118.2367
192007076,3/4/2019 0:00,3/2/2019 0:00,2200,20,Olympic,2074,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2000    VENICE                       BL,,34.0437,-118.3006
191716761,10/16/2019 0:00,10/16/2019 0:00,1700,17,Devonshire,1757,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,10100    BALBOA                       BL,,34.2539,-118.5024
191223258,9/21/2019 0:00,9/21/2019 0:00,1130,12,77th Street,1269,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2038 1814 0913 2000,53,F,B,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,440,900,,,800 E  80TH                         ST,,33.9665,-118.2608
190205301,1/27/2019 0:00,1/26/2019 0:00,2300,2,Rampart,256,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BONNIE BRAE                  ST,WILSHIRE                     BL,34.0569,-118.2736
191209675,3/22/2019 0:00,3/22/2019 0:00,1910,12,77th Street,1207,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1822 1300 1309 0319 0444 0342,19,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4600    WESLEY                       AV,,34.0016,-118.2878
191813157,5/31/2019 0:00,5/31/2019 0:00,500,18,Southeast,1821,2,624,BATTERY - SIMPLE ASSAULT,0416 1820,26,M,H,301,GAS STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,9900 S  HOOVER                       ST,,33.9464,-118.2869
190710145,5/6/2019 0:00,1/1/2019 0:00,800,7,Wilshire,723,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,8000 W  3RD                          ST,,34.0719,-118.3637
191211302,4/12/2019 0:00,4/12/2019 0:00,2000,12,77th Street,1218,1,350,"THEFT, PERSON",0913 2000 1814 0408 0344 1309,24,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,350,,,,5200 S  FIGUEROA                     ST,,33.9923,-118.287
190407312,3/19/2019 0:00,3/19/2019 0:00,1515,4,Hollenbeck,448,2,901,VIOLATION OF RESTRAINING ORDER,2038,19,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901,,,,1600 N  SOTO                         ST,,34.0591,-118.1965
191215645,6/8/2019 0:00,6/1/2019 0:00,1,12,77th Street,1204,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,4700 S  NORMANDIE                    AV,,34.0007,-118.3002
191304748,1/15/2019 0:00,1/15/2019 0:00,1200,13,Newton,1327,1,761,BRANDISH WEAPON,1402 0334 0554 0602 0421 0913,24,M,H,501,SINGLE FAMILY DWELLING,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,761,998,,,1500 E  21ST                         ST,,34.0197,-118.2474
190910311,5/3/2019 0:00,5/3/2019 0:00,1000,9,Van Nuys,904,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1258 0553,10,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,237,,,,15100    SATICOY                      ST,,34.2085,-118.4626
191221762,9/2/2019 0:00,8/31/2019 0:00,2242,12,77th Street,1267,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0342 0344 1309,0,X,X,108,PARKING LOT,,,IC,Invest Cont,341,,,,900 W  MANCHESTER                   AV,,33.9622,-118.285
190311294,4/20/2019 0:00,4/20/2019 0:00,2000,3,Southwest,338,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1251 1606,22,F,H,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420,,,,3100 S  HOOVER                       ST,,34.0268,-118.2896
191608958,5/11/2019 0:00,5/11/2019 0:00,1400,16,Foothill,1623,2,624,BATTERY - SIMPLE ASSAULT,2000 1813 0416,59,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,12900    PIERCE                       ST,,34.2685,-118.4152
190215208,7/22/2019 0:00,7/20/2019 0:00,1500,2,Rampart,238,1,310,BURGLARY,2000 2002 0344 0397 1202 1602,62,M,W,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,310,,,,1300    CORTEZ                       ST,,34.0662,-118.2564
190807417,3/20/2019 0:00,3/19/2019 0:00,2000,8,West LA,897,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3300    BAGLEY                       AV,,34.0314,-118.3959
191209984,3/26/2019 0:00,3/20/2019 0:00,1600,12,77th Street,1253,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,79TH,VERMONT,33.9709,-118.3112
191901280,12/7/2019 0:00,12/7/2019 0:00,1400,19,Mission,1918,1,210,ROBBERY,2001 1206 0355 1820 0416 1281 0344 1402 1407,15,M,H,501,SINGLE FAMILY DWELLING,102,HAND GUN,JA,Juv Arrest,210,998,,,13800    SAYRE                        ST,,34.3102,-118.4338
190714052,7/23/2019 0:00,7/22/2019 0:00,1700,7,Wilshire,722,1,330,BURGLARY FROM VEHICLE,1300 0344 0329 1609,26,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,8400 W  3RD                          ST,,34.073,-118.3731
191300543,2/2/2019 0:00,2/2/2019 0:00,855,13,Newton,1317,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0344 0907 0325 0104,0,M,H,402,MARKET,,,IC,Invest Cont,442,998,,,CENTRAL,OLYMPIC,34.0315,-118.2445
